                  playlist_id                  |                                                                                                                                     quiz_prepost                                                                                                                                      
                                               | D. Tidak ada pengaruh yang signifikan                                                                                                                                                                                                                                                +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Menurut video, pentingnya keheningan dalam musik menunjukkan aspek apa dari proses kreativitas?                                                                                                                                                                                      +
                                               | A. Pentingnya sistem dua untuk memahami konsep kompleks                                                                                                                                                                                                                              +
                                               | B. Pentingnya meledakkan ide secara bebas tanpa batasan                                                                                                                                                                                                                              +
                                               | C. Pentingnya penataan hasil yang telah diledakkan                                                                                                                                                                                                                                   +
                                               | D. Pentingnya menghargai keheningan dalam mengekspresikan kreativitas                                                                                                                                                                                                                +
                                               | ANSWER: D                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana proses meledakkan ide dapat mempengaruhi tahap selanjutnya dalam proses kreativitas?                                                                                                                                                                                       +
                                               | A. Menghasilkan banyak ide yang kemudian perlu ditata secara sistematis                                                                                                                                                                                                              +
                                               | B. Mempercepat penyerapan ilmu baru                                                                                                                                                                                                                                                  +
                                               | C. Menyederhanakan proses penataan hasil akhir                                                                                                                                                                                                                                       +
                                               | D. Membuat tahap penataan menjadi tidak diperlukan                                                                                                                                                                                                                                   +
                                               | ANSWER: A                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks red light syndrome, bagaimana tekanan dapat mempengaruhi kreativitas dan apa langkah yang bisa diambil untuk mengatasinya?                                                                                                                                             +
                                               | A. Tekanan meningkatkan kecepatan ide-ide baru dan tidak ada solusi.                                                                                                                                                                                                                 +
                                               | B. Tekanan menghambat proses meledakkan ide dan perlu waktu istirahat atau hiburan.                                                                                                                                                                                                  +
                                               | C. Tekanan membuat penataan hasil karya lebih cepat dan efisien.                                                                                                                                                                                                                     +
                                               | D. Tekanan meningkatkan produktivitas dan tidak mempengaruhi tahap lainnya.                                                                                                                                                                                                          +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pada tahap penataan ide kreativitas, aspek apa yang perlu dipertimbangkan untuk mencapai hasil akhir yang efektif?                                                                                                                                                                   +
                                               | A. Desain teknis saja                                                                                                                                                                                                                                                                +
                                               | B. Human centered design saja                                                                                                                                                                                                                                                        +
                                               | C. Keseimbangan antara human centered design dan desain teknis                                                                                                                                                                                                                       +
                                               | D. Fokus pada elemen estetika saja                                                                                                                                                                                                                                                   +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana proses penataan ide dalam kreativitas dapat diterapkan dalam pembuatan musik?                                                                                                                                                                                              +
                                               | A. Dengan mengeja lirik lagu dengan jelas                                                                                                                                                                                                                                            +
                                               | B. Menggunakan instrumen musik yang berbeda                                                                                                                                                                                                                                          +
                                               | C. Menyesuaikan nada dan ritme untuk memenuhi kebutuhan audiens                                                                                                                                                                                                                      +
                                               | D. Memilih genre musik yang populer saat ini                                                                                                                                                                                                                                         +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam proses kreativitas, mengapa penting untuk menyeimbangkan antara awareness luar (human centered design) dan awareness internal (fitur desain teknis)?                                                                                                                           +
                                               | A. Agar lebih mudah dalam proses produksi                                                                                                                                                                                                                                            +
                                               | B. Untuk memastikan bahwa hasil akhir mencapai kepuasan pengguna dan efisiensi teknikal                                                                                                                                                                                              +
                                               | C. Menyederhanakan proses kreativitas menjadi satu aspek saja                                                                                                                                                                                                                        +
                                               | D. Meningkatkan kompleksitas desain tanpa tujuan spesifik                                                                                                                                                                                                                            +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pentingnya modal apa dalam proses inovasi yang dibahas dalam video ini?                                                                                                                                                                                                              +
                                               | A. Modal keuangan saja                                                                                                                                                                                                                                                               +
                                               | B. Modal ilmu pengetahuan, sumber daya, dan inspirasi                                                                                                                                                                                                                                +
                                               | C. Hanya modal teknologi                                                                                                                                                                                                                                                             +
                                               | D. Modal fisik seperti mesin dan peralatan                                                                                                                                                                                                                                           +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana inovasi pada level struktural dalam konteks seni musik dapat mempengaruhi efisiensi?                                                                                                                                                                                       +
                                               | A. Mengurangi kualitas suara yang dihasilkan                                                                                                                                                                                                                                         +
                                               | B. Meningkatkan efisiensi dengan memberikan lebih banyak waktu untuk menciptakan hal baru                                                                                                                                                                                            +
                                               | C. Tidak memiliki dampak pada efisiensi                                                                                                                                                                                                                                              +
                                               | D. Memperburuk pemahaman tentang struktur lagu                                                                                                                                                                                                                                       +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks inovasi, bagaimana analisis kasus Haji Rhoma Irama dalam pengembangan dangdut dapat memberikan gambaran tentang tingkat inovasi?                                                                                                                                       +
                                               | A. Menunjukkan bahwa dangdut adalah genre musik yang tidak perlu diubah                                                                                                                                                                                                              +
                                               | B. Menunjukkan bahwa dangdut merupakan contoh pola baru dalam genre, mencerminkan level kedua dari tiga tingkatan inovasi                                                                                                                                                            +
                                               | C. Hanya menunjukkan penggunaan teknologi digital untuk memasarkan lagu dangdut                                                                                                                                                                                                      +
                                               | D. Menunjukkan kurangnya inovasi dalam musik dangdut                                                                                                                                                                                                                                 +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pelajaran video ini menunjukkan bahwa ukuran roket modern dibatasi oleh lebar rel kereta api, yang kembali ditentukan oleh lebar pantat kuda Romawi. Ini adalah contoh dari level inovasi apa?                                                                                       +
                                               | A. Teknologi                                                                                                                                                                                                                                                                         +
                                               | B. Struktur                                                                                                                                                                                                                                                                          +
                                               | C. Pola                                                                                                                                                                                                                                                                              +
                                               | D. Likuiditas                                                                                                                                                                                                                                                                        +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana dampak penemuan derajat Celcius pada perkembangan dunia kimia menurut video ini?                                                                                                                                                                                           +
                                               | A. Meningkatkan kompleksitas sistem pengukuran                                                                                                                                                                                                                                       +
                                               | B. Mempercepat kemajuan dalam bidang kimia                                                                                                                                                                                                                                           +
                                               | C. Menghambat inovasi baru dalam bidang kimia                                                                                                                                                                                                                                        +
                                               | D. Tidak ada dampak yang signifikan                                                                                                                                                                                                                                                  +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Menurut video, mengapa pemahaman tentang level inovasi penting untuk pengembangan mental model manusia?                                                                                                                                                                              +
                                               | A. Karena membatasi ide-ide kreatif                                                                                                                                                                                                                                                  +
                                               | B. Membantu dalam merumuskan strategi inovasi yang lebih baik                                                                                                                                                                                                                        +
                                               | C. Menghambat adaptasi terhadap perubahan lingkungan                                                                                                                                                                                                                                 +
                                               | D. Tidak memiliki pengaruh apapun pada mental model manusia                                                                                                                                                                                                                          +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pengaruh faktor eksternal seperti waktu, tempat, dan unsur-unsur alam terhadap proses kreativitas disebut sebagai apa?                                                                                                                                                               +
                                               | A. Faktor internal                                                                                                                                                                                                                                                                   +
                                               | B. Faktor lingkungan                                                                                                                                                                                                                                                                 +
                                               | C. Faktor psikologis                                                                                                                                                                                                                                                                 +
                                               | D. Faktor personal                                                                                                                                                                                                                                                                   +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana cara yang paling efektif menurut video untuk mengatasi hambatan faktor eksternal dalam proses kreativitas?                                                                                                                                                                 +
                                               | A. Mengubah lingkungan fisik secara total                                                                                                                                                                                                                                            +
                                               | B. Memahami dan menerima pengaruh lingkungan dengan bijak                                                                                                                                                                                                                            +
                                               | C. Menyembunyikan diri dari semua aspek lingkungan                                                                                                                                                                                                                                   +
                                               | D. Meningkatkan pengetahuan tentang faktor eksternal saja                                                                                                                                                                                                                            +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam sebuah proyek kreatif, bagaimana Anda menerapkan pemahaman tentang pengaruh waktu dan tempat terhadap proses ide?                                                                                                                                                              +
                                               | A. Menentukan jam kerja tetap setiap hari                                                                                                                                                                                                                                            +
                                               | B. Mengubah lingkungan kerja sesuai dengan tahapan-tahapan proyek                                                                                                                                                                                                                    +
                                               | C. Membuat jadwal yang ketat tanpa fleksibilitas                                                                                                                                                                                                                                     +
                                               | D. Melakukan pekerjaan kreatif hanya di rumah                                                                                                                                                                                                                                        +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Berdasarkan video, bagaimana Anda menganalisis perubahan lingkungan sekitar dapat mempengaruhi proses ide menjadi kreativitas?                                                                                                                                                       +
                                               | A. Dengan mengabaikan faktor-faktor eksternal yang tidak mendukung                                                                                                                                                                                                                   +
                                               | B. Mengidentifikasi dan menyesuaikan persepsi terhadap lingkungan yang berubah                                                                                                                                                                                                       +
                                               | C. Tidak melakukan perubahan apapun pada lingkungan kerja                                                                                                                                                                                                                            +
                                               | D. Menambahkan lebih banyak hambatan untuk menciptakan tantangan                                                                                                                                                                                                                     +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pada video ini, Manajer yang efektif cenderung memiliki sifat apa?                                                                                                                                                                                                                   +
                                               | A. Berinovasi dan berpikir kreatif                                                                                                                                                                                                                                                   +
                                               | B. Menjaga sistem kerja tetap stabil                                                                                                                                                                                                                                                 +
                                               | C. Mencari kondisi gelisah untuk meningkatkan produktivitas                                                                                                                                                                                                                          +
                                               | D. Mengenal diri sendiri secara spiritual                                                                                                                                                                                                                                            +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana karakteristik seseorang yang memiliki potensi kreativitas tinggi menurut video ini?                                                                                                                                                                                        +
                                               | A. Memiliki tingkat openness yang rendah                                                                                                                                                                                                                                             +
                                               | B. Cenderung menghindari situasi gelisah atau tidak nyaman                                                                                                                                                                                                                           +
                                               | C. Memiliki tingkat openness yang tinggi                                                                                                                                                                                                                                             +
                                               | D. Fokus pada pemeliharaan sistem kerja tanpa perubahan                                                                                                                                                                                                                              +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks video ini, bagaimana kondisi mental dan spiritual mempengaruhi kemampuan seseorang untuk belajar dari pengalaman negatif?                                                                                                                                              +
                                               | A. Kondisi gelisah tidak memiliki dampak pada proses belajar                                                                                                                                                                                                                         +
                                               | B. Mengenal diri sendiri secara mendalam dapat membantu mengubah hambatan menjadi peluang pembelajaran                                                                                                                                                                               +
                                               | C. Tingkat openness tidak mempengaruhi bagaimana seseorang merespons pengalaman negatif                                                                                                                                                                                              +
                                               | D. Manajer yang efektif lebih cepat belajar dari kesalahan dibandingkan individu lainnya                                                                                                                                                                                             +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Menurut video, apa yang penting untuk memicu respons positif dalam konteks kreativitas?                                                                                                                                                                                              +
                                               | A. Menjaga kondisi mental tetap tenang dan stabil                                                                                                                                                                                                                                    +
